Cleaned_data
1Feb2024_data,,,,,,,,,,,,,,,,,,,,,,,,,,
Accession,Description,Classification,Genome Length (bp),Jumbophage,molGC (%),Molecule,Modification Date,Number CDS,Positive Strand (%),Negative Strand (%),Coding Capacity (%),Low Coding Capacity Warning,tRNAs,Host,Lowest Taxa,Genus,Sub-family,Family,Order,Class,Phylum,Kingdom,Realm,Baltimore Group,Genbank Division,Isolation Host (beware inconsistent and nonsense values)
MZ322319,Pseudomonas phage vB_Pae-PA152,Pseudomonas phage vB_Pae-PA152 unclassified Enquatrovirus Enquatrovirus Enquatrovirinae Schitoviridae Caudovirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,74434,FALSE,53.562,DNA,18-JUL-2023,115,80.8695652173913,19.1304347826087,93.9691538812908,NA,0,Pseudomonas,Enquatrovirus,Enquatrovirus,Enquatrovirinae,Schitoviridae,Caudovirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Pseudomonas aeruginosa ATCC 27853
OQ221551,Bacteroides phage PhiCrAssBcn16,Bacteroides phage PhiCrAssBcn16 Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,99601,FALSE,34.667,DNA,17-MAY-2023,108,41.6666666666667,58.3333333333333,93.5613096254054,NA,21,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis DSM 108646
OQ221536,Bacteroides phage PhiCrAssBcn1,Bacteroides phage PhiCrAssBcn1 Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,99312,FALSE,35.072,DNA,17-MAY-2023,102,60.7843137254902,39.2156862745098,94.2212421459642,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis DSM 108646
OQ221559,Bacteroides phage PhiCrAssBcn24,Bacteroides phage PhiCrAssBcn24 Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,97685,FALSE,35.185,DNA,17-MAY-2023,100,39,61,94.0676664789886,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis DSM 108646
OQ221557,Bacteroides phage PhiCrAssBcn22,Bacteroides phage PhiCrAssBcn22 Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,98637,FALSE,35.091,DNA,17-MAY-2023,98,56.1224489795918,43.8775510204082,94.5983758630129,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis DSM 108646
OQ221548,Bacteroides phage PhiCrAssBcn13,Bacteroides phage PhiCrAssBcn13 Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,98273,FALSE,35.196,DNA,17-MAY-2023,100,61,39,94.3779064442929,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis DSM 108646
OQ221544,Bacteroides phage PhiCrAssBcn9,Bacteroides phage PhiCrAssBcn9 Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,99752,FALSE,35.088,DNA,17-MAY-2023,102,38.2352941176471,61.7647058823529,94.2717940492421,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis DSM 108646
OQ221539,Bacteroides phage PhiCrAssBcn4,Bacteroides phage PhiCrAssBcn4 Kehishuvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,101446,FALSE,35.180,DNA,17-MAY-2023,101,37.6237623762376,62.3762376237624,93.5847643081048,NA,24,Bacteroides,Kehishuvirus,Kehishuvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides intestinalis DSM 108646
NC_055832,Bacteroides phage DAC15,Bacteroides phage DAC15 Wulfhauvirus bangladeshii Wulfhauvirus Asinivirinae Steigviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,99494,FALSE,37.042,DNA,11-JAN-2023,110,39.0909090909091,60.9090909090909,93.7061531348624,NA,13,Bacteroides,Wulfhauvirus,Wulfhauvirus,Asinivirinae,Steigviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Bacteroides thetaiotaomicron VPI-5484
NC_055828,Bacteroides phage crAss002,Bacteroides phage crAss002 Jahgtovirus secundus Jahgtovirus Churivirinae Intestiviridae Crassvirales Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses,93030,FALSE,31.929,DNA,11-JAN-2023,81,41.9753086419753,58.0246913580247,93.10867462109,NA,0,Bacteroides,Jahgtovirus,Jahgtovirus,Churivirinae,Intestiviridae,Crassvirales,Caudoviricetes,Uroviricota,Heunggongvirae,Duplodnaviria,Group I,PHG,Unspecified
